model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.8,1.0,0.0,0.0,0.0
EEG_Only,1,0.8888888888888888,0.875,0.0,0.0,0.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,0.7777777777777778,1.0,0.5,1.0,0.3333333333333333
EEG_Only,4,0.8888888888888888,0.625,0.0,0.0,0.0
EEG_Only,5,0.9,0.875,0.6666666666666666,0.5,1.0
EEG_Only,6,0.8888888888888888,1.0,0.0,0.0,0.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,0.7777777777777778,0.875,0.0,0.0,0.0
EEG_Only,9,0.8888888888888888,0.875,0.0,0.0,0.0
EEG_Only,10,0.9,0.9375,0.6666666666666666,0.5,1.0
EEG_Only,11,0.4444444444444444,0.5,0.0,0.0,0.0
EEG_Only,12,0.8888888888888888,1.0,0.0,0.0,0.0
EEG_Only,13,0.8888888888888888,1.0,0.0,0.0,0.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.6,0.5625,0.3333333333333333,0.5,0.25
ECG_Only,1,0.8888888888888888,1.0,0.6666666666666666,1.0,0.5
ECG_Only,2,0.6666666666666666,0.75,0.0,0.0,0.0
ECG_Only,3,1.0,1.0,1.0,1.0,1.0
ECG_Only,4,0.7777777777777778,0.875,0.0,0.0,0.0
ECG_Only,5,0.8,0.875,0.6666666666666666,1.0,0.5
ECG_Only,6,0.7777777777777778,0.75,0.0,0.0,0.0
ECG_Only,7,0.6666666666666666,0.5,0.0,0.0,0.0
ECG_Only,8,0.7777777777777778,0.875,0.0,0.0,0.0
ECG_Only,9,0.8888888888888888,1.0,0.6666666666666666,1.0,0.5
ECG_Only,10,0.6,0.46875,0.0,0.0,0.0
ECG_Only,11,0.8888888888888888,0.625,0.0,0.0,0.0
ECG_Only,12,0.8888888888888888,1.0,0.0,0.0,0.0
ECG_Only,13,0.8888888888888888,1.0,0.6666666666666666,1.0,0.5
ECG_Only,14,0.8888888888888888,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,0,0.8,0.8125,0.0,0.0,0.0
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,0.6666666666666666,0.75,0.0,0.0,0.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,0.8888888888888888,0.875,0.0,0.0,0.0
Fused_EEG_ECG,5,0.9,0.875,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,6,0.8888888888888888,0.75,0.0,0.0,0.0
Fused_EEG_ECG,7,0.7777777777777778,0.625,0.0,0.0,0.0
Fused_EEG_ECG,8,0.8888888888888888,0.875,0.0,0.0,0.0
Fused_EEG_ECG,9,0.8888888888888888,1.0,0.0,0.0,0.0
Fused_EEG_ECG,10,0.8,0.75,0.0,0.0,0.0
Fused_EEG_ECG,11,0.8888888888888888,0.5,0.0,0.0,0.0
Fused_EEG_ECG,12,0.8888888888888888,1.0,0.0,0.0,0.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
