model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.8888888888888888,0.8,0.0,0.0,0.0
EEG_Only,1,0.9629629629629629,1.0,0.8,1.0,0.6666666666666666
EEG_Only,2,0.9629629629629629,0.23076923076923073,0.0,0.0,0.0
EEG_Only,3,0.8888888888888888,1.0,0.4,1.0,0.25
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,0.9259259259259259,0.84,0.5,0.5,0.5
EEG_Only,6,0.9629629629629629,0.88,0.6666666666666666,0.5,1.0
EEG_Only,7,0.8888888888888888,1.0,0.4,1.0,0.25
EEG_Only,8,0.9629629629629629,1.0,0.6666666666666666,1.0,0.5
EEG_Only,9,0.9629629629629629,0.5769230769230769,0.0,0.0,0.0
EEG_Only,10,0.9259259259259259,0.72,0.5,0.5,0.5
EEG_Only,11,0.9259259259259259,0.9,0.5,0.5,0.5
EEG_Only,12,0.9629629629629629,0.8461538461538461,0.0,0.0,0.0
EEG_Only,13,0.8888888888888888,1.0,0.4,1.0,0.25
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.8518518518518519,0.66,0.0,0.0,0.0
ECG_Only,1,0.9259259259259259,0.82,0.0,0.0,0.0
ECG_Only,2,0.9629629629629629,0.8076923076923077,0.0,0.0,0.0
ECG_Only,3,0.9259259259259259,0.8461538461538461,0.0,0.0,0.0
ECG_Only,4,0.9629629629629629,1.0,0.0,0.0,0.0
ECG_Only,5,0.7777777777777778,0.48,0.0,0.0,0.0
ECG_Only,6,0.9629629629629629,0.8200000000000001,0.6666666666666666,0.5,1.0
ECG_Only,7,0.9259259259259259,0.7307692307692307,0.0,0.0,0.0
ECG_Only,8,0.9629629629629629,0.8846153846153846,0.0,0.0,0.0
ECG_Only,9,0.9629629629629629,0.8076923076923076,0.0,0.0,0.0
ECG_Only,10,0.9259259259259259,0.9,0.0,0.0,0.0
ECG_Only,11,0.9259259259259259,0.73,0.0,0.0,0.0
ECG_Only,12,0.9629629629629629,0.5384615384615384,0.0,0.0,0.0
ECG_Only,13,0.9259259259259259,0.8461538461538461,0.0,0.0,0.0
ECG_Only,14,0.9259259259259259,0.9230769230769231,0.0,0.0,0.0
Fused_EEG_ECG,0,0.8888888888888888,0.88,0.0,0.0,0.0
Fused_EEG_ECG,1,0.9259259259259259,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,2,0.9629629629629629,0.6153846153846154,0.0,0.0,0.0
Fused_EEG_ECG,3,0.9629629629629629,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,0.8888888888888888,0.76,0.4,0.5,0.3333333333333333
Fused_EEG_ECG,6,0.9629629629629629,0.98,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,7,0.8888888888888888,0.9615384615384616,0.4,1.0,0.25
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,0.9629629629629629,0.4807692307692308,0.0,0.0,0.0
Fused_EEG_ECG,10,0.9629629629629629,0.7,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,11,0.9259259259259259,0.9199999999999999,0.5,0.5,0.5
Fused_EEG_ECG,12,0.9629629629629629,0.923076923076923,0.0,0.0,0.0
Fused_EEG_ECG,13,0.9259259259259259,1.0,0.5,1.0,0.3333333333333333
Fused_EEG_ECG,14,0.9629629629629629,1.0,0.6666666666666666,1.0,0.5
