model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.9393939393939394,1.0,0.8571428571428571,0.75,1.0
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,1.0,0.9999999999999999,1.0,1.0,1.0
EEG_Only,4,0.9375,1.0,0.875,1.0,0.7777777777777778
EEG_Only,5,1.0,1.0,1.0,1.0,1.0
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,0.9375,0.9999999999999999,0.8333333333333334,0.7142857142857143,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,1.0,1.0,1.0,1.0,1.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.696969696969697,0.725,0.2857142857142857,0.25,0.3333333333333333
ECG_Only,1,0.6666666666666666,0.4642857142857143,0.0,0.0,0.0
ECG_Only,2,0.53125,0.4,0.0,0.0,0.0
ECG_Only,3,0.65625,0.7114285714285714,0.35294117647058826,0.42857142857142855,0.3
ECG_Only,4,0.53125,0.39714285714285713,0.21052631578947367,0.2857142857142857,0.16666666666666666
ECG_Only,5,0.6363636363636364,0.5725,0.14285714285714285,0.125,0.16666666666666666
ECG_Only,6,0.696969696969697,0.7197802197802198,0.375,0.42857142857142855,0.3333333333333333
ECG_Only,7,0.65625,0.5514285714285714,0.26666666666666666,0.2857142857142857,0.25
ECG_Only,8,0.59375,0.48857142857142855,0.23529411764705882,0.2857142857142857,0.2
ECG_Only,9,0.71875,0.6485714285714286,0.3076923076923077,0.2857142857142857,0.3333333333333333
ECG_Only,10,0.48484848484848486,0.47,0.0,0.0,0.0
ECG_Only,11,0.7575757575757576,0.5989010989010989,0.3333333333333333,0.2857142857142857,0.4
ECG_Only,12,0.6875,0.7085714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
ECG_Only,13,0.59375,0.5257142857142857,0.23529411764705882,0.2857142857142857,0.2
ECG_Only,14,0.5625,0.5314285714285714,0.2222222222222222,0.2857142857142857,0.18181818181818182
Fused_EEG_ECG,0,0.9393939393939394,1.0,0.8571428571428571,0.75,1.0
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,0.90625,0.9885714285714287,0.8,0.8571428571428571,0.75
Fused_EEG_ECG,5,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,0.9375,1.0,0.8333333333333334,0.7142857142857143,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
