model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.9090909090909091,1.0,0.6666666666666666,0.5,1.0
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,0.9,0.11111111111111116,0.0,0.0,0.0
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,1.0,1.0,1.0,1.0,1.0
EEG_Only,6,0.9090909090909091,1.0,0.6666666666666666,0.5,1.0
EEG_Only,7,0.9,1.0,0.0,0.0,0.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,0.9,0.0,0.0,0.0,0.0
EEG_Only,10,0.8181818181818182,1.0,0.0,0.0,0.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,0.9,0.2222222222222222,0.0,0.0,0.0
ECG_Only,0,0.5454545454545454,0.7777777777777778,0.2857142857142857,0.5,0.2
ECG_Only,1,0.8181818181818182,0.8888888888888888,0.5,0.5,0.5
ECG_Only,2,0.9,0.0,0.0,0.0,0.0
ECG_Only,3,0.7,1.0,0.4,1.0,0.25
ECG_Only,4,1.0,1.0,1.0,1.0,1.0
ECG_Only,5,0.9090909090909091,0.9444444444444445,0.6666666666666666,0.5,1.0
ECG_Only,6,0.8181818181818182,0.8888888888888888,0.0,0.0,0.0
ECG_Only,7,0.8,1.0,0.5,1.0,0.3333333333333333
ECG_Only,8,0.7,1.0,0.4,1.0,0.25
ECG_Only,9,0.8,0.0,0.0,0.0,0.0
ECG_Only,10,0.8181818181818182,0.7777777777777778,0.0,0.0,0.0
ECG_Only,11,0.7272727272727273,0.7777777777777779,0.5714285714285714,1.0,0.4
ECG_Only,12,0.6,0.7777777777777778,0.3333333333333333,1.0,0.2
ECG_Only,13,1.0,1.0,1.0,1.0,1.0
ECG_Only,14,0.9,0.0,0.0,0.0,0.0
Fused_EEG_ECG,0,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,1,0.9090909090909091,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,2,0.9,0.11111111111111116,0.0,0.0,0.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,0.9090909090909091,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,6,0.9090909090909091,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,0.9,0.0,0.0,0.0,0.0
Fused_EEG_ECG,10,0.8181818181818182,1.0,0.0,0.0,0.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,0.9,0.33333333333333337,0.0,0.0,0.0
