subject_id,model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,accuracy
sub-001,ECG_Only,0.8398560503823661,0.22666666666666666,0.26666666666666666,0.25,0.9516666666666667
sub-001,EEG_Only,0.9439496176338282,0.6755555555555556,0.7333333333333333,0.7,0.9733333333333333
sub-001,Fused_EEG_ECG,0.9448268106162843,0.5644444444444444,0.5666666666666667,0.6444444444444444,0.975
sub-002,ECG_Only,0.8872960372960373,0.4910413839910121,0.5435897435897435,0.46716814832913905,0.9137724550898203
sub-002,EEG_Only,0.9943722943722944,0.9115655294046099,0.9282051282051282,0.9009632034632034,0.9860279441117765
sub-002,Fused_EEG_ECG,0.9915584415584415,0.9271268484601818,0.9435897435897436,0.9144566544566544,0.9884231536926148
sub-004,ECG_Only,0.8553535353535353,0.5885714285714286,0.711111111111111,0.5577777777777778,0.8153846153846155
sub-004,EEG_Only,0.8292929292929293,0.6050793650793651,0.6222222222222222,0.66,0.8512820512820514
sub-004,Fused_EEG_ECG,0.8638383838383838,0.6307936507936508,0.6555555555555556,0.698888888888889,0.8717948717948718
sub-005,ECG_Only,0.872962962962963,0.40444444444444444,0.5666666666666667,0.36111111111111105,0.7919191919191919
sub-005,EEG_Only,0.9325925925925926,0.5377777777777778,0.5333333333333333,0.5888888888888889,0.8747474747474747
sub-005,Fused_EEG_ECG,0.962962962962963,0.7333333333333333,0.7,0.8333333333333334,0.9409090909090909
sub-011,ECG_Only,0.8985185185185185,0.5264694564694564,0.7777777777777778,0.4115079365079365,0.8111111111111111
sub-011,EEG_Only,1.0,1.0,1.0,1.0,1.0
sub-011,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-012,ECG_Only,0.9972222222222222,0.9422222222222222,1.0,0.9111111111111111,0.9871794871794872
sub-012,EEG_Only,0.9857487922705314,0.7688888888888888,0.9,0.7277777777777777,0.9581538461538462
sub-012,Fused_EEG_ECG,0.9985507246376811,0.8844444444444444,0.9,0.9222222222222223,0.9818461538461539
sub-014,ECG_Only,0.9111111111111111,0.3333333333333333,0.4,0.3,0.9166666666666666
sub-014,EEG_Only,0.9606060606060606,0.6,0.7333333333333333,0.5444444444444444,0.911965811965812
sub-014,Fused_EEG_ECG,0.9606060606060606,0.6,0.6,0.6,0.9427350427350427
sub-015,ECG_Only,0.8010416666666667,0.5695767195767195,0.6166666666666667,0.6155555555555555,0.9319943622269203
sub-015,EEG_Only,0.9616666666666667,0.9004761904761905,0.8722222222222222,0.9733333333333333,0.9876321353065539
sub-015,Fused_EEG_ECG,0.9751388888888889,0.9076190476190475,0.8722222222222222,0.9833333333333333,0.9891825229034531
sub-016,ECG_Only,0.8857142857142858,0.6288888888888889,0.8333333333333334,0.538888888888889,0.836111111111111
sub-016,EEG_Only,0.9952380952380953,0.9155555555555556,1.0,0.8666666666666667,0.961111111111111
sub-016,Fused_EEG_ECG,1.0,0.9155555555555556,1.0,0.8666666666666667,0.961111111111111
sub-018,ECG_Only,0.8406060606060606,0.4857142857142857,0.6666666666666666,0.4222222222222222,0.8757575757575757
sub-018,EEG_Only,0.98,0.8444444444444444,1.0,0.7777777777777778,0.9525252525252526
sub-018,Fused_EEG_ECG,0.9866666666666667,0.7444444444444444,0.8666666666666667,0.6888888888888889,0.9525252525252524
sub-021,ECG_Only,0.8594152046783626,0.7122222222222222,0.711111111111111,0.7611111111111111,0.9147562582345191
sub-021,EEG_Only,0.9599707602339181,0.8406349206349206,0.8555555555555556,0.8666666666666667,0.952832674571805
