model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,optimal_threshold,optimization_target
EEG_Only (Advanced),0.9114524667456307,0.34568579009973466,0.8997380328649679,0.21394189931479698,0.08190807972281475,Recall>=0.9
ECG_Only (HRV),0.5931923901980248,0.20407612363341882,0.9002143367468445,0.11508250624124704,0.12052014615523843,Recall>=0.9
Fused_EEG_ECG (Advanced),0.9141562742223144,0.35148583918522996,0.8999761848059061,0.21838881183541378,0.07707625365729948,Recall>=0.9
