model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,1.0,0.9999999999999999,1.0,1.0,1.0
EEG_Only,1,0.9782608695652174,1.0,0.6666666666666666,0.5,1.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,0.9782608695652174,1.0,0.6666666666666666,1.0,0.5
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,0.9787234042553191,1.0,0.6666666666666666,0.5,1.0
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,0.9787234042553191,1.0,0.8,1.0,0.6666666666666666
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,0.9782608695652174,1.0,0.6666666666666666,0.5,1.0
EEG_Only,13,0.9782608695652174,1.0,0.6666666666666666,1.0,0.5
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.9574468085106383,0.9888888888888889,0.5,0.5,0.5
ECG_Only,1,0.9782608695652174,1.0,0.8,1.0,0.6666666666666666
ECG_Only,2,0.9347826086956522,0.9204545454545454,0.0,0.0,0.0
ECG_Only,3,1.0,1.0,1.0,1.0,1.0
ECG_Only,4,0.9565217391304348,1.0,0.5,1.0,0.3333333333333333
ECG_Only,5,0.9787234042553191,1.0,0.6666666666666666,0.5,1.0
ECG_Only,6,0.9565217391304348,0.9772727272727272,0.6666666666666666,1.0,0.5
ECG_Only,7,0.9782608695652174,1.0,0.8,1.0,0.6666666666666666
ECG_Only,8,0.9782608695652174,0.9777777777777779,0.0,0.0,0.0
ECG_Only,9,0.9565217391304348,0.9777777777777777,0.0,0.0,0.0
ECG_Only,10,0.9787234042553191,0.9222222222222223,0.6666666666666666,0.5,1.0
ECG_Only,11,0.9130434782608695,0.9772727272727273,0.5,1.0,0.3333333333333333
ECG_Only,12,1.0,1.0,1.0,1.0,1.0
ECG_Only,13,0.9565217391304348,0.9777777777777777,0.0,0.0,0.0
ECG_Only,14,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,0,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,1,0.9782608695652174,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,2,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,0.9787234042553191,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,0.9782608695652174,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
