model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,0.75,1.0,0.8,1.0,0.6666666666666666
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,0.875,1.0,0.8571428571428571,0.75,1.0
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,0.8571428571428571,0.9166666666666667,0.8571428571428571,0.75,1.0
EEG_Only,5,1.0,1.0,1.0,1.0,1.0
EEG_Only,6,0.75,0.9375,0.6666666666666666,0.5,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,0.875,1.0,0.8571428571428571,0.75,1.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,0.8571428571428571,1.0,0.8571428571428571,0.75,1.0
ECG_Only,0,0.5,0.5625,0.5,0.5,0.5
ECG_Only,1,0.5,0.4375,0.6,0.75,0.5
ECG_Only,2,0.5,0.5,0.3333333333333333,0.25,0.5
ECG_Only,3,0.625,0.6875,0.5714285714285714,0.5,0.6666666666666666
ECG_Only,4,0.42857142857142855,0.5833333333333334,0.5,0.5,0.5
ECG_Only,5,0.625,0.625,0.6666666666666666,0.75,0.6
ECG_Only,6,0.625,0.625,0.6666666666666666,0.75,0.6
ECG_Only,7,0.25,0.3125,0.25,0.25,0.25
ECG_Only,8,0.625,0.8125,0.6666666666666666,0.75,0.6
ECG_Only,9,0.5714285714285714,0.8333333333333334,0.5714285714285714,0.5,0.6666666666666666
ECG_Only,10,0.375,0.375,0.4444444444444444,0.5,0.4
ECG_Only,11,0.75,0.8125,0.75,0.75,0.75
ECG_Only,12,0.25,0.375,0.4,0.5,0.3333333333333333
ECG_Only,13,0.375,0.4375,0.2857142857142857,0.25,0.3333333333333333
ECG_Only,14,0.42857142857142855,0.8333333333333334,0.0,0.0,0.0
Fused_EEG_ECG,0,0.75,1.0,0.8,1.0,0.6666666666666666
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,0.875,1.0,0.8571428571428571,0.75,1.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,0.8571428571428571,0.9166666666666667,0.8571428571428571,0.75,1.0
Fused_EEG_ECG,5,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,6,0.75,0.9375,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,0.875,0.8125,0.8571428571428571,0.75,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,0.8571428571428571,0.9166666666666667,0.8571428571428571,0.75,1.0
