model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,1.0,1.0,1.0,1.0,1.0
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,1.0,1.0,1.0,1.0,1.0
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,1.0,1.0,1.0,1.0,1.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.8906752411575563,0.722129319955407,0.0,0.0,0.0
ECG_Only,1,0.8617363344051447,0.6457575757575758,0.044444444444444446,0.09090909090909091,0.029411764705882353
ECG_Only,2,0.8778135048231511,0.6318181818181818,0.0,0.0,0.0
ECG_Only,3,0.8810289389067524,0.6581818181818182,0.0,0.0,0.0
ECG_Only,4,0.8548387096774194,0.5842201276983887,0.0425531914893617,0.09090909090909091,0.027777777777777776
ECG_Only,5,0.8938906752411575,0.6963489409141583,0.0,0.0,0.0
ECG_Only,6,0.8553054662379421,0.5086363636363636,0.0,0.0,0.0
ECG_Only,7,0.9067524115755627,0.6146969696969697,0.0,0.0,0.0
ECG_Only,8,0.8585209003215434,0.6372727272727272,0.0,0.0,0.0
ECG_Only,9,0.8709677419354839,0.7515962298570994,0.0,0.0,0.0
ECG_Only,10,0.8842443729903537,0.5862597547380156,0.0,0.0,0.0
ECG_Only,11,0.8617363344051447,0.6928787878787879,0.0,0.0,0.0
ECG_Only,12,0.864951768488746,0.7216666666666666,0.0,0.0,0.0
ECG_Only,13,0.8713826366559485,0.5063636363636363,0.0,0.0,0.0
ECG_Only,14,0.8709677419354839,0.49559136515658253,0.0,0.0,0.0
Fused_EEG_ECG,0,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
