model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,1.0,1.0,1.0,1.0,1.0
EEG_Only,1,1.0,1.0,1.0,1.0,1.0
EEG_Only,2,0.9473684210526315,1.0,0.6666666666666666,1.0,0.5
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,0.95,1.0,0.8,1.0,0.6666666666666666
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,0.95,1.0,0.8,1.0,0.6666666666666666
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,0.9473684210526315,1.0,0.6666666666666666,1.0,0.5
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.8,0.25,0.0,0.0,0.0
ECG_Only,1,0.85,0.6944444444444444,0.4,0.5,0.3333333333333333
ECG_Only,2,0.8947368421052632,0.02777777777777779,0.0,0.0,0.0
ECG_Only,3,0.9473684210526315,0.8333333333333334,0.0,0.0,0.0
ECG_Only,4,1.0,1.0,1.0,1.0,1.0
ECG_Only,5,0.95,0.5138888888888888,0.6666666666666666,0.5,1.0
ECG_Only,6,0.95,0.5138888888888888,0.6666666666666666,0.5,1.0
ECG_Only,7,0.8947368421052632,0.7222222222222222,0.0,0.0,0.0
ECG_Only,8,0.9473684210526315,0.38888888888888884,0.0,0.0,0.0
ECG_Only,9,0.8947368421052632,0.8333333333333334,0.0,0.0,0.0
ECG_Only,10,0.85,0.75,0.0,0.0,0.0
ECG_Only,11,0.8,0.2361111111111111,0.0,0.0,0.0
ECG_Only,12,0.8947368421052632,0.6666666666666667,0.0,0.0,0.0
ECG_Only,13,0.9473684210526315,0.8333333333333334,0.0,0.0,0.0
ECG_Only,14,0.8421052631578947,0.02777777777777779,0.0,0.0,0.0
Fused_EEG_ECG,0,0.95,1.0,0.6666666666666666,0.5,1.0
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,0.9473684210526315,1.0,0.6666666666666666,1.0,0.5
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
