model_name,fold,accuracy,roc_auc,f1_seizure,recall_seizure,precision_seizure
EEG_Only,0,1.0,1.0,1.0,1.0,1.0
EEG_Only,1,1.0,0.9999999999999999,1.0,1.0,1.0
EEG_Only,2,1.0,1.0,1.0,1.0,1.0
EEG_Only,3,1.0,1.0,1.0,1.0,1.0
EEG_Only,4,1.0,1.0,1.0,1.0,1.0
EEG_Only,5,1.0,1.0,1.0,1.0,1.0
EEG_Only,6,1.0,1.0,1.0,1.0,1.0
EEG_Only,7,1.0,1.0,1.0,1.0,1.0
EEG_Only,8,1.0,1.0,1.0,1.0,1.0
EEG_Only,9,1.0,1.0,1.0,1.0,1.0
EEG_Only,10,1.0,1.0,1.0,1.0,1.0
EEG_Only,11,1.0,1.0,1.0,1.0,1.0
EEG_Only,12,1.0,1.0,1.0,1.0,1.0
EEG_Only,13,1.0,1.0,1.0,1.0,1.0
EEG_Only,14,1.0,1.0,1.0,1.0,1.0
ECG_Only,0,0.8723404255319149,0.6547619047619048,0.0,0.0,0.0
ECG_Only,1,0.8297872340425532,0.2571428571428571,0.0,0.0,0.0
ECG_Only,2,0.8085106382978723,0.55,0.0,0.0,0.0
ECG_Only,3,0.8936170212765957,0.7267441860465117,0.0,0.0,0.0
ECG_Only,4,0.8043478260869565,0.34523809523809523,0.0,0.0,0.0
ECG_Only,5,0.7872340425531915,0.3023809523809524,0.0,0.0,0.0
ECG_Only,6,0.7659574468085106,0.3619047619047619,0.0,0.0,0.0
ECG_Only,7,0.8297872340425532,0.6190476190476191,0.0,0.0,0.0
ECG_Only,8,0.8723404255319149,0.37790697674418605,0.0,0.0,0.0
ECG_Only,9,0.8260869565217391,0.5773809523809523,0.0,0.0,0.0
ECG_Only,10,0.8297872340425532,0.17857142857142858,0.0,0.0,0.0
ECG_Only,11,0.8085106382978723,0.49523809523809526,0.0,0.0,0.0
ECG_Only,12,0.8297872340425532,0.4666666666666666,0.0,0.0,0.0
ECG_Only,13,0.851063829787234,0.6337209302325582,0.2222222222222222,0.25,0.2
ECG_Only,14,0.8478260869565217,0.4791666666666667,0.0,0.0,0.0
Fused_EEG_ECG,0,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,1,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,2,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,3,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,4,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,5,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,6,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,7,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,8,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,9,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,10,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,11,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,12,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,13,1.0,1.0,1.0,1.0,1.0
Fused_EEG_ECG,14,1.0,1.0,1.0,1.0,1.0
